Country,Hazard,Total Loss in MEUR,Insured Loss in MEUR,Gap in MEUR,Gap (%)
Albania (AL),Climatological (Other),76.0,0.0,76.0,1.0
Albania (AL),Hydrological,343.0,0.0,343.0,1.0
Albania (AL),Meteorological,10.0,0.0,10.0,1.0
Austria (AT),Climatological (Other),1472.0,624.0,848.0,0.5760869565217391
Austria (AT),Climatological (heatwaves),1673.0,14.0,1659.0,0.9916317991631799
Austria (AT),Hydrological,7519.0,1049.0,6470.0,0.8604867668572949
Austria (AT),Meteorological,4062.0,1100.0,2962.0,0.7291974396848844
Belgium (BE),Climatological (heatwaves),280.0,0.0,280.0,1.0
Belgium (BE),Hydrological,11396.0,2825.0,8571.0,0.7521060021060021
Belgium (BE),Meteorological,5312.0,3855.0,1457.0,0.2742846385542169
Bosnia and Herzegovina (BA),Climatological (heatwaves),2545.0,0.0,2545.0,1.0
Bosnia and Herzegovina (BA),Hydrological,1019.0,0.0,1019.0,1.0
Bulgaria (BG),Climatological (Other),84.0,0.0,84.0,1.0
Bulgaria (BG),Hydrological,4390.0,0.0,4390.0,1.0
Bulgaria (BG),Meteorological,695.0,93.0,602.0,0.8661870503597122
Croatia (HR),Climatological (Other),68.0,0.0,68.0,1.0
Croatia (HR),Climatological (heatwaves),1811.0,0.0,1811.0,1.0
Croatia (HR),Hydrological,1812.0,101.0,1711.0,0.9442604856512141
Croatia (HR),Meteorological,463.0,0.0,463.0,1.0
Cyprus (CY),Climatological (Other),6.0,0.0,6.0,1.0
Cyprus (CY),Climatological (heatwaves),394.0,0.0,394.0,1.0
Cyprus (CY),Meteorological,40.0,8.0,32.0,0.8
Czechia (CZ),Climatological (Other),354.0,241.0,113.0,0.3192090395480226
Czechia (CZ),Climatological (heatwaves),807.0,0.0,807.0,1.0
Czechia (CZ),Hydrological,14483.0,1236.0,13247.0,0.9146585652143893
Czechia (CZ),Meteorological,2889.0,691.0,2198.0,0.7608168916580131
Denmark (DK),Climatological (heatwaves),1076.0,0.0,1076.0,1.0
Denmark (DK),Hydrological,1781.0,1299.0,482.0,0.27063447501403703
Denmark (DK),Meteorological,5893.0,4144.0,1749.0,0.2967928050229085
Estonia (EE),Climatological (heatwaves),19.0,0.0,19.0,1.0
Estonia (EE),Hydrological,1.0,0.0,1.0,1.0
Estonia (EE),Meteorological,313.0,51.0,262.0,0.8370607028753994
Finland (FI),Climatological (Other),1339.0,0.0,1339.0,1.0
Finland (FI),Hydrological,559.0,73.0,486.0,0.8694096601073346
Finland (FI),Meteorological,482.0,0.0,482.0,1.0
France (FR),Climatological (Other),15308.0,2393.0,12915.0,0.8436765090148941
France (FR),Climatological (heatwaves),23254.0,11718.0,11536.0,0.49608669476219147
France (FR),Hydrological,39759.0,11334.0,28425.0,0.7149324681204255
France (FR),Meteorological,51576.0,20608.0,30968.0,0.6004343105320304
Germany (DE),Climatological (Other),4836.0,690.0,4146.0,0.8573200992555832
Germany (DE),Climatological (heatwaves),21237.0,13.0,21224.0,0.9993878608089655
Germany (DE),Hydrological,77339.0,19734.0,57605.0,0.7448376627574704
Germany (DE),Meteorological,76960.0,34323.0,42637.0,0.5540150727650728
Greece (EL),Climatological (Other),5920.0,138.0,5782.0,0.9766891891891892
Greece (EL),Climatological (heatwaves),1744.0,0.0,1744.0,1.0
Greece (EL),Hydrological,5408.0,597.0,4811.0,0.8896079881656804
Greece (EL),Meteorological,3279.0,114.0,3165.0,0.9652333028362305
Hungary (HU),Climatological (Other),1.0,0.0,1.0,1.0
Hungary (HU),Climatological (heatwaves),7847.0,149.0,7698.0,0.9810118516630559
Hungary (HU),Hydrological,2163.0,22.0,2141.0,0.989828941285252
Hungary (HU),Meteorological,433.0,416.0,17.0,0.03926096997690531
Iceland (IS),Hydrological,22.0,0.0,22.0,1.0
Iceland (IS),Meteorological,3.0,0.0,3.0,1.0
Ireland (IE),Hydrological,1501.0,155.0,1346.0,0.8967355096602265
Ireland (IE),Meteorological,2454.0,386.0,2068.0,0.8427057864710676
Italy (IT),Climatological (Other),9047.0,1641.0,7406.0,0.8186139051619321
Italy (IT),Climatological (heatwaves),32433.0,1701.0,30732.0,0.9475534178151882
Italy (IT),Hydrological,71799.0,2186.0,69613.0,0.9695538935082662
Italy (IT),Meteorological,20654.0,389.0,20265.0,0.9811658758593977
Kosovo* (XK),Hydrological,19.0,0.0,19.0,1.0
Latvia (LV),Climatological (Other),120.0,0.0,120.0,1.0
Latvia (LV),Hydrological,573.0,1.0,572.0,0.9982547993019197
Latvia (LV),Meteorological,557.0,70.0,487.0,0.874326750448833
Liechtenstein (LI),Climatological (Other),11.0,9.0,2.0,0.18181818181818177
Liechtenstein (LI),Hydrological,10.0,0.0,10.0,1.0
Liechtenstein (LI),Meteorological,1.0,1.0,0.0,0.0
Lithuania (LT),Climatological (Other),424.0,8.0,416.0,0.9811320754716981
Lithuania (LT),Climatological (heatwaves),1097.0,0.0,1097.0,1.0
Lithuania (LT),Hydrological,584.0,0.0,584.0,1.0
Lithuania (LT),Meteorological,178.0,50.0,128.0,0.7191011235955056
Luxembourg (LU),Hydrological,260.0,124.0,136.0,0.523076923076923
Luxembourg (LU),Meteorological,1002.0,503.0,499.0,0.498003992015968
Malta (MT),Hydrological,22.0,0.0,22.0,1.0
Malta (MT),Meteorological,29.0,2.0,27.0,0.9310344827586207
Montenegro (ME),Climatological (Other),13.0,0.0,13.0,1.0
Montenegro (ME),Hydrological,12.0,0.0,12.0,1.0
Netherlands (NL),Climatological (heatwaves),1.0,0.0,1.0,1.0
Netherlands (NL),Hydrological,1746.0,15.0,1731.0,0.9914089347079038
Netherlands (NL),Meteorological,9224.0,4282.0,4942.0,0.5357762359063314
North Macedonia (MK),Climatological (Other),59.0,0.0,59.0,1.0
North Macedonia (MK),Hydrological,444.0,0.0,444.0,1.0
Norway (NO),Climatological (Other),38.0,5.0,33.0,0.868421052631579
Norway (NO),Climatological (heatwaves),1.0,0.0,1.0,1.0
Norway (NO),Hydrological,1243.0,767.0,476.0,0.38294448913917944
Norway (NO),Meteorological,3135.0,2307.0,828.0,0.2641148325358852
Poland (PL),Climatological (Other),2.0,0.0,2.0,1.0
Poland (PL),Climatological (heatwaves),1323.0,0.0,1323.0,1.0
Poland (PL),Hydrological,18538.0,1279.0,17259.0,0.9310065810767073
Poland (PL),Meteorological,767.0,100.0,667.0,0.8696219035202086
Portugal (PT),Climatological (Other),7640.0,356.0,7284.0,0.9534031413612566
Portugal (PT),Climatological (heatwaves),4775.0,18.0,4757.0,0.9962303664921466
Portugal (PT),Hydrological,2217.0,50.0,2167.0,0.97744700045106
Portugal (PT),Meteorological,2039.0,153.0,1886.0,0.9249632172633644
Romania (RO),Climatological (heatwaves),7852.0,0.0,7852.0,1.0
Romania (RO),Hydrological,11702.0,199.0,11503.0,0.9829943599384721
Romania (RO),Meteorological,74.0,0.0,74.0,1.0
Serbia (RS),Climatological (Other),501.0,0.0,501.0,1.0
Serbia (RS),Climatological (heatwaves),9568.0,0.0,9568.0,1.0
Serbia (RS),Hydrological,4202.0,0.0,4202.0,1.0
Serbia (RS),Meteorological,15.0,0.0,15.0,1.0
Slovakia (SK),Climatological (heatwaves),368.0,0.0,368.0,1.0
Slovakia (SK),Hydrological,927.0,65.0,862.0,0.9298813376483279
Slovakia (SK),Meteorological,661.0,19.0,642.0,0.9712556732223904
Slovenia (SI),Climatological (Other),194.0,0.0,194.0,1.0
Slovenia (SI),Climatological (heatwaves),1720.0,0.0,1720.0,1.0
Slovenia (SI),Hydrological,13983.0,153.0,13830.0,0.9890581420296074
Slovenia (SI),Meteorological,1588.0,118.0,1470.0,0.9256926952141058
Spain (ES),Climatological (Other),16437.0,1185.0,15252.0,0.927906552290564
Spain (ES),Climatological (heatwaves),29336.0,207.0,29129.0,0.9929438232887919
Spain (ES),Hydrological,34512.0,3003.0,31509.0,0.9129867872044506
Spain (ES),Meteorological,15681.0,848.0,14833.0,0.9459218162107008
Sweden (SE),Climatological (Other),210.0,23.0,187.0,0.8904761904761904
Sweden (SE),Hydrological,189.0,74.0,115.0,0.6084656084656085
Sweden (SE),Meteorological,3305.0,860.0,2445.0,0.7397881996974282
Switzerland (CH),Climatological (Other),9.0,9.0,0.0,0.0
Switzerland (CH),Climatological (heatwaves),427.0,0.0,427.0,1.0
Switzerland (CH),Hydrological,10369.0,3892.0,6477.0,0.6246504002314592
Switzerland (CH),Meteorological,9088.0,3376.0,5712.0,0.6285211267605634
Türkiye (TR),Climatological (Other),262.0,0.0,262.0,1.0
Türkiye (TR),Climatological (heatwaves),1.0,0.0,1.0,1.0
Türkiye (TR),Hydrological,6041.0,293.0,5748.0,0.9514980963416653
Türkiye (TR),Meteorological,591.0,163.0,428.0,0.7241962774957699
